year,prop,tot_prop
2001,0.04526909684721658,1.0
2002,0.05172448406264936,1.0
2003,0.052961413412667885,1.0
2004,0.05138012972930512,1.0
2005,0.05121663230710237,1.0
2006,0.05462298691452439,1.0
2007,0.04942293192878983,1.0
2008,0.053230307088094266,1.0
2009,0.06027764386740422,1.0
2010,0.05909050906147656,1.0
2011,0.06997024204933709,1.0
2012,0.06881166096110303,1.0
2013,0.07223903172388102,1.0
2014,0.07838904834034532,1.0
2015,0.08096327478329411,1.0
2016,0.09080120498056704,1.0
2017,0.1040812096146553,1.0
2018,0.10514209561339978,1.0
2019,0.11064361871500357,1.0
2020,0.12338607092229542,1.0
2021,0.1284439060151253,1.0
2022,0.1394275015399419,1.0
2023,0.1441996863994522,1.0
